WKT,unnamed (1),id,lat,lon
"LINESTRING (106.68828260810892 10.766698632189135, 106.69079759421426 10.764078361745536)",146.0,edge-39,,
"LINESTRING (106.69079759421426 10.764078361745536, 106.69026115241128 10.763804320133309)",147.0,edge-40,,
"LINESTRING (106.69026115241128 10.763804320133309, 106.68663036735575 10.76253531703015)",148.0,edge-41,,
"LINESTRING (106.68663036735575 10.76253531703015, 106.68401696982461 10.759440700893409)",149.0,edge-42,,
"LINESTRING (106.68171090816945 10.765502988216346, 106.68336251082498 10.761148211596607)",150.0,edge-43,,
"LINESTRING (106.68336251082498 10.761148211596607, 106.68401696982461 10.759440700893409)",151.0,edge-44,,
"LINESTRING (106.68336251082498 10.761148211596607, 106.67413935272307 10.75751355673015)",152.0,edge-45,,
"LINESTRING (106.67413935272307 10.75751355673015, 106.6719470292576 10.755003235888577)",153.0,edge-46,,
"LINESTRING (106.6743075800354 10.755525733628952, 106.6719470292576 10.755003235888577)",154.0,edge-47,,
"LINESTRING (106.6782879782135 10.757264887388738, 106.68401696982461 10.759440700893409)",155.0,edge-48,,
"LINESTRING (106.68401696982461 10.759440700893409, 106.68520787062722 10.756464427904389)",156.0,edge-49,,
"LINESTRING (106.68520787062722 10.756464427904389, 106.68762185874063 10.759025715614477)",157.0,edge-50,,
"LINESTRING (106.68762185874063 10.759025715614477, 106.68978371920663 10.761713463273626)",158.0,edge-51,,
"LINESTRING (106.68978371920663 10.761713463273626, 106.69257321658212 10.764875488662259)",159.0,edge-52,,
"LINESTRING (106.69079759421426 10.764078361745536, 106.69257321658212 10.764875488662259)",160.0,edge-53,,
"LINESTRING (106.69257321658212 10.764875488662259, 106.69536807837564 10.767974241354455)",161.0,edge-54,,
"LINESTRING (106.69536807837564 10.767974241354455, 106.69842043223458 10.771415505886408)",162.0,edge-55,,
"LINESTRING (106.69842043223458 10.771415505886408, 106.69674765975992 10.77117808425332)",163.0,edge-56,,
"LINESTRING (106.68520787062722 10.756464427904389, 106.67892097954102 10.754745746261232)",164.0,edge-57,,
"LINESTRING (106.6782879782135 10.757264887388738, 106.67892097954102 10.754745746261232)",165.0,edge-58,,
"LINESTRING (106.6782879782135 10.757264887388738, 106.6743075800354 10.755525733628952)",166.0,edge-59,,
"LINESTRING (106.6743075800354 10.755525733628952, 106.67473673347779 10.75358630185227)",167.0,edge-60,,
"LINESTRING (106.67473673347779 10.75358630185227, 106.67892097954102 10.754745746261232)",168.0,edge-61,,
"LINESTRING (106.67473673347779 10.75358630185227, 106.66949033264466 10.752700904939275)",169.0,edge-62,,
"LINESTRING (106.66950106148072 10.753512518875423, 106.66949033264466 10.752700904939275)",170.0,edge-63,,
"LINESTRING (106.66950106148072 10.753512518875423, 106.6719470292576 10.755003235888577)",171.0,edge-64,,
"LINESTRING (106.66949033264466 10.752700904939275, 106.66793465141602 10.752584959913026)",172.0,edge-65,,
"LINESTRING (106.66950106148072 10.753512518875423, 106.66793465141602 10.752584959913026)",173.0,edge-66,,
"LINESTRING (106.65621146766753 10.777950802726458, 106.6531612904495 10.775469100359441)",174.0,edge-67,,
"LINESTRING (106.6531612904495 10.775469100359441, 106.6527643235153 10.771232127772846)",175.0,edge-68,,
"LINESTRING (106.6527643235153 10.771232127772846, 106.65809974281402 10.770383295097414)",176.0,edge-69,,
"LINESTRING (106.6527643235153 10.771232127772846, 106.65244245843351 10.768850121983306)",177.0,edge-70,,
"LINESTRING (106.65244245843351 10.768850121983306, 106.64644503907621 10.765361398094834)",178.0,edge-71,,
"LINESTRING (106.64644503907621 10.765361398094834, 106.65118718461454 10.762736923593827)",179.0,edge-72,,
"LINESTRING (106.65118718461454 10.762736923593827, 106.65708050338836 10.762256971443465)",180.0,edge-73,,
"LINESTRING (106.65118718461454 10.762736923593827, 106.65085769638671 10.75883400874412)",181.0,edge-74,,
"LINESTRING (106.65708050338836 10.762256971443465, 106.65085769638671 10.75883400874412)",182.0,edge-75,,
"LINESTRING (106.65085769638671 10.75883400874412, 106.64934493050231 10.758064570200045)",183.0,edge-76,,
"LINESTRING (106.64644503907621 10.765361398094834, 106.64488173470153 10.764304343975665)",184.0,edge-77,,
"LINESTRING (106.64488173470153 10.764304343975665, 106.64402924678096 10.758988426937417)",185.0,edge-78,,
"LINESTRING (106.64402924678096 10.758988426937417, 106.64387322411193 10.758359697544947)",186.0,edge-79,,
"LINESTRING (106.64387322411193 10.758359697544947, 106.64934493050231 10.758064570200045)",187.0,edge-80,,
